year,subject
2023,arts-humanities
2023,engineering-technology
2023,life-sciences-medicine
2023,natural-sciences
2023,social-sciences-management
2023,accounting-finance
2023,agriculture-forestry
2023,anatomy-physiology
2023,anthropology
2023,archaeology
2023,architecture-built-environment
2023,art-history
2023,art-design
2023,biological-sciences
2023,business-management-studies
2023,chemistry
2023,classics-ancient-history
2023,communication-media-studies
2023,computer-science-information-systems
2023,data-science
2023,dentistry
2023,development-studies
2023,earth-marine-sciences
2023,economics-econometrics
2023,education-training
2023,chemical-engineering
2023,civil-structural-engineering
2023,electrical-electronic-engineering
2023,mechanical-aeronautical-manufacturing-engineering
2023,mineral-mining-engineering
2023,engineering-petroleum
2023,english-language-literature
2023,environmental-sciences
2023,geography
2023,geology
2023,geophysics
2023,history
2023,hospitality-leisure-management
2023,law-legal-studies
2023,library-information-management
2023,linguistics
2023,marketing
2023,materials-sciences
2023,mathematics
2023,medicine
2023,modern-languages
2023,nursing
2023,performing-arts
2023,pharmacy-pharmacology
2023,philosophy
2023,physics-astronomy
2023,politics
2023,psychology
2023,social-policy-administration
2023,sociology
2023,sports-related-subjects
2023,statistics-operational-research
2023,theology-divinity-religious-studies
2023,veterinary-science
