year,subject,nid
2023,arts-humanities,3846211
2023,engineering-technology,3846212
2023,life-sciences-medicine,3846213
2023,natural-sciences,3846219
2023,social-sciences-management,3846220
2023,accounting-finance,3846221
2023,agriculture-forestry,3846222
2023,anatomy-physiology,3846223
2023,anthropology,3846224
2023,archaeology,3846225
2023,architecture-built-environment,3846226
2023,art-history,3846270
2023,art-design,3846227
2023,biological-sciences,3846228
2023,business-management-studies,3846229
2023,chemistry,3846230
2023,classics-ancient-history,3846231
2023,communication-media-studies,3846232
2023,computer-science-information-systems,3846233
2023,data-science,3846272
2023,dentistry,3846234
2023,development-studies,3846235
2023,earth-marine-sciences,3846236
2023,economics-econometrics,3846237
2023,education-training,3846238
2023,chemical-engineering,3846239
2023,civil-structural-engineering,3846240
2023,electrical-electronic-engineering,3846241
2023,mechanical-aeronautical-manufacturing-engineering,3846242
2023,mineral-mining-engineering,3846243
2023,engineering-petroleum,3846248
2023,english-language-literature,3846244
2023,environmental-sciences,3846246
2023,geography,3846249
2023,geology,3846247
2023,geophysics,3846245
2023,history,3846252
2023,hospitality-leisure-management,3846258
2023,law-legal-studies,3846259
2023,library-information-management,3846262
2023,linguistics,3846264
2023,marketing,3846271
2023,materials-sciences,3846268
2023,mathematics,3846266
2023,medicine,3846267
2023,modern-languages,3846269
2023,nursing,3870666
2023,performing-arts,3846265
2023,pharmacy-pharmacology,3846263
2023,philosophy,3846261
2023,physics-astronomy,3846260
2023,politics,3870667
2023,psychology,3846257
2023,social-policy-administration,3846256
2023,sociology,3846255
2023,sports-related-subjects,3846254
2023,statistics-operational-research,3846253
2023,theology-divinity-religious-studies,3846251
2023,veterinary-science,3846250
